Independent Variable	Fit Peak 1	Fit Peak 2	Fit Peak 3	Fit Peak 4	Fit Peak 5	Fit Peak 6	Fit Peak 7	Fit Peak 8	Fit Peak 9	Fit Peak 10	Fit Peak 11	Fit Peak 12	Fit Peak 13	Fit Peak 14	Fit Peak 15	Fit Peak 16	Fit Peak 17	Fit Peak 18	Cumulative Fit Peak	Independent Variable	Regular Residual E"Smoothed Y1"	Regular Residual E"Smoothed Y1"	Fitted Y	Regular Residual E"Smoothed Y1"	Regular Residual E"Smoothed Y1"	Percentiles	Reference X	Reference Line
																											mu = 17.645232	sigma = 212.864956
371.866016685206	-60.2047147210123	-60.3392127039391	-50.5695234682597	-60.0033165934026	-60.339212720504	-58.8456803870051	-60.3392116572969	-113.607505609701	-60.3389468183083	-60.0815499902837	-60.3226765654694	-60.2081798509083	-60.2268270123097	-60.1995068417366	-60.2558266151584	-60.339212720504	-60.2603117908388	-60.3069974831805	-101.02179730125	352.475	126.706448981327	126.706448981327	-101.308267163145	126.706448981327	-683.886898034441	0.976495580072638		
372.633874304783	-60.2041740751074	-60.3392127038732	-50.5675384805489	-60.0020405558746	-60.339212720504	-58.8402320307542	-60.3392116535411	-113.607525093631	-60.3389459161804	-60.0806819012316	-60.3226220741227	-60.207751357556	-60.2264696041733	-60.1990702959085	-60.2555695823918	-60.339212720504	-60.2600781996868	-60.3069033602398	-101.009836077261	352.689	146.624350040919	146.624350040919	-101.305259131828	146.624350040919	-682.014570361371	1.00390598232029		
373.40173192436	-60.2036301626861	-60.3392127038069	-50.5655568146209	-60.000757233958	-60.339212720504	-58.8347538071595	-60.3392116497654	-113.607544543979	-60.3389450094524	-60.0798094137723	-60.3225673129369	-60.2073207585191	-60.2261104881182	-60.198631700629	-60.2553113592408	-60.339212720504	-60.2598435695963	-60.3068088241977	-100.997824544879	352.902	146.6213528684	146.6213528684	-101.302261959309	146.6213528684	-678.733235262976	1.03131638456794		
374.169589543938	-60.2030829573804	-60.3392127037402	-50.5635784726599	-59.9994665721081	-60.339212720504	-58.8292454975171	-60.3392116459696	-113.607563960744	-60.3389440980929	-60.078932498114	-60.322512280127	-60.2068880399754	-60.2257496532434	-60.1981910430487	-60.2550519383426	-60.339212720504	-60.2596078943966	-60.3067138726332	-100.985762320533	353.116	166.352883860211	166.352883860211	-101.299247496575	166.352883860211	-675.018173461313	1.0587267868156		
374.937447163515	-60.2025324325553	-60.3392127036732	-50.5616034568466	-59.9981685142499	-60.339212720504	-58.8237068811175	-60.3392116421535	-113.607583343927	-60.3389431820703	-60.078051124212	-60.3224569738935	-60.2064531879891	-60.2253870885606	-60.1977483102173	-60.2547913122774	-60.339212720504	-60.2593711678712	-60.3066185031075	-100.973649017161	353.33	143.078047982556	143.078047982556	-101.296229800738	143.078047982556	-672.151038913164	1.08613718906325		
375.705304783092	-60.2019785613062	-60.3392127036057	-50.5596317693582	-59.9968630037717	-60.339212720504	-58.8181377352232	-60.3392116383171	-113.607602693526	-60.3389422613527	-60.077165261766	-60.3224013924215	-60.2060161885097	-60.2250227829938	-60.1973034890824	-60.2545294735681	-60.339212720504	-60.2591333837572	-60.306522713164	-100.961484244163	353.543	145.495041171076	145.495041171076	-101.293222989258	145.495041171076	-669.999582431746	1.1135475913109		
376.47316240267	-60.2014213164553	-60.3392127035378	-50.5576634123688	-59.9955499835194	-60.339212720504	-58.8125378350476	-60.3392116344602	-113.607622009542	-60.3389413359081	-60.0762748802179	-60.3223455338815	-60.2055770273707	-60.2246567253779	-60.1968565664891	-60.2542664146791	-60.339212720504	-60.2588945357452	-60.306426500328	-100.949267607368	353.757	146.236562458929	146.236562458929	-101.290198822565	146.236562458929	-667.930838032167	1.14095799355856		
377.241020022247	-60.2008606705483	-60.3392127034695	-50.5556983880489	-59.9942293957899	-60.339212720504	-58.8069069537305	-60.3392116305825	-113.607641291976	-60.3389404057039	-60.0753799487486	-60.3222893964285	-60.2051356902885	-60.2242889044584	-60.1964075291788	-60.2540021280165	-60.339212720504	-60.2586546174784	-60.3063298621063	-100.936998708993	353.971	131.711716857478	131.711716857478	-101.287171402933	131.711716857478	-667.277398720729	1.16836839580621		
378.008877641824	-60.200296595851	-60.3392127034007	-50.5537366985657	-59.9929011823249	-60.339212720504	-58.8012448623166	-60.3392116266841	-113.607660540827	-60.3389394707075	-60.0744804362756	-60.3222329782022	-60.2046921628616	-60.2239193088902	-60.1959563637879	-60.2537366059271	-60.339212720504	-60.2584136225527	-60.3062327959878	-100.924677147602	354.184	127.985063984258	127.985063984258	-101.284154893349	127.985063984258	-644.740302870749	1.19577879805386		
378.776735261402	-60.199729064346	-60.3392127033316	-50.5517783460832	-59.9915652843044	-60.339212720504	-58.7955513297317	-60.3392116227647	-113.607679756094	-60.3389385308859	-60.0735763114504	-60.3221762773267	-60.2042464305689	-60.2235479272367	-60.1955030568472	-60.2534698406981	-60.339212720504	-60.2581715445159	-60.3061352994423	-100.912302518067	354.398	116.99657550859	116.99657550859	-101.281120963135	116.99657550859	-627.042825854762	1.22318920030151		
379.544592880979	-60.1991580477291	-60.339212703262	-50.5498233327617	-59.9902216423403	-60.339212720504	-58.7898261227588	-60.3392116188242	-113.607698937779	-60.3389375862058	-60.0726675426556	-60.3221192919105	-60.2037984787688	-60.223174747969	-60.1950475947808	-60.2532018245561	-60.339212720504	-60.2579283768673	-60.3060373699213	-100.89987441153	354.611	63.373552505614	63.373552505614	-101.278097960159	63.373552505614	-616.004041085864	1.25059960254917		
380.312450500556	-60.1985835174058	-60.339212703192	-50.5478716607583	-59.9888701964698	-60.339212720504	-58.7840690060147	-60.3392116148624	-113.60771808588	-60.3389366366337	-60.0717540980021	-60.322062020046	-60.203348292698	-60.2227997594652	-60.194589963905	-60.2529325496671	-60.339212720504	-60.2576841130575	-60.3059390048572	-100.887392415355	354.825	50.8968756745588	50.8968756745588	-101.275057492741	50.8968756745588	-615.04939133026	1.27801000479682		
381.080308120133	-60.1980054444879	-60.3392127031216	-50.5459233322267	-59.9875108861485	-60.339212720504	-58.7782797419258	-60.3392116108792	-113.607737200399	-60.3389356821357	-60.0708359453264	-60.3220044598101	-60.20289585747	-60.2224229500091	-60.1941301504273	-60.2526620081356	-60.339212720504	-60.2574387464878	-60.3058402016634	-100.874856113094	355.038	57.2238461516281	57.2238461516281	-101.27202796981	57.2238461516281	-608.8931392581	1.30542040704447		
381.848165739711	-60.1974237997893	-60.3392127030507	-50.5439783493172	-59.9861436502439	-60.339212720504	-58.7724580907031	-60.3392116068745	-113.607756281334	-60.3389347226777	-60.0699130521876	-60.3219466092629	-60.2024411580744	-60.2220443077897	-60.1936681404455	-60.2523901920042	-60.339212720504	-60.2571922705098	-60.305740957734	-100.862265084439	355.252	66.1571627566154	66.1571627566154	-101.268980938434	66.1571627566154	-606.646068977861	1.33283080929213		
382.616023359288	-60.1968385538231	-60.3392127029794	-50.5420367141766	-59.9847684270285	-60.339212720504	-58.7666038103178	-60.339211602848	-113.607775328686	-60.3389337582252	-60.0689853858649	-60.3218884664486	-60.2019841793751	-60.2216638208998	-60.1932039199463	-60.2521170932527	-60.339212720504	-60.2569446784248	-60.3056412704438	-100.84961890518	355.465	35.2486721415836	35.2486721415836	-101.265944868856	35.2486721415836	-587.457209391432	1.36024121153978		
383.383880978865	-60.1962496767973	-60.3392127029077	-50.5400984289485	-59.9833851541724	-60.339212720504	-58.7607166564763	-60.3392115987996	-113.607794342455	-60.3389327887435	-60.0680529133541	-60.3218300293948	-60.2015249061093	-60.2212814773356	-60.1927374748047	-60.2518427037978	-60.339212720504	-60.2566959634834	-60.3055411371478	-100.836917147168	355.679	58.7038003375493	58.7038003375493	-101.26289124664	58.7038003375493	-579.854716620914	1.38765161378743		
384.151738598443	-60.1956571386112	-60.3392127028355	-50.5381634957728	-59.981993768737	-60.339212720504	-58.7547963825941	-60.3392115947291	-113.607813322641	-60.3389318141976	-60.0671156013652	-60.3217712961123	-60.2010633228865	-60.2208972649953	-60.1922687907825	-60.2515670154925	-60.339212720504	-60.2564461188855	-60.3054405551817	-100.824159378259	355.892	50.3234849672308	50.3234849672308	-101.259848603594	50.3234849672308	-579.700950131157	1.41506201603509		
384.91959621802	-60.1950609088515	-60.3392127027629	-50.5362319167863	-59.9805942071671	-60.339212720504	-58.7488427397704	-60.3392115906365	-113.607832269243	-60.3389308345521	-60.0661734163191	-60.3217122645951	-60.2005994141865	-60.2205111716785	-60.1917978535275	-60.2512900201253	-60.339212720504	-60.2561951377789	-60.3053395218608	-100.811345162281	356.106	56.8376974544349	56.8376974544349	-101.256788363526	56.8376974544349	-578.47635089545	1.44247241828274		
385.687453837597	-60.1944609567884	-60.3392127026898	-50.5343036941221	-59.9791864052842	-60.339212720504	-58.7428554767622	-60.3392115865215	-113.607851182262	-60.3389298497713	-60.0652263243446	-60.3216529328204	-60.2001331643588	-60.2201231850848	-60.1913246485723	-60.2510117094197	-60.339212720504	-60.2559430132597	-60.3052380344806	-100.798474058982	356.319	59.0682845746053	59.0682845746053	-101.25373912006	59.0682845746053	-572.150153367777	1.46988282053039		
