Independent Variable	Fit Peak 1	Fit Peak 2	Fit Peak 3	Fit Peak 4	Fit Peak 5	Fit Peak 6	Fit Peak 7	Fit Peak 8	Fit Peak 9	Fit Peak 10	Fit Peak 11	Fit Peak 12	Fit Peak 13	Fit Peak 14	Fit Peak 15	Fit Peak 16	Fit Peak 17	Fit Peak 18	Fit Peak 19	Fit Peak 20	Cumulative Fit Peak	Independent Variable	Regular Residual E"Smoothed Y1"	Regular Residual E"Smoothed Y1"	Fitted Y	Regular Residual E"Smoothed Y1"	Regular Residual E"Smoothed Y1"	Percentiles	Reference X	Reference Line
																													mu = -0.068995	sigma = 191.159419
369.562443826474	-100.028266558873	-99.9803637254974	-100.030077980401	-100.012634045475	-99.8226034706324	-99.5648765227735	-99.7599355630711	-100.030077980401	-99.808788305442	-99.7720255647945	-99.8701760433704	-99.7616793802923	-99.7352108400318	-99.8097411987185	-99.8160526437032	-99.1322781539349	-99.795125528007	-99.661073272209	-100.358133857748	-100.030077980401	-96.2077169881657	351.834	132.685560822356	132.685560822356	-96.4891971859927	132.685560822356	-700.400807062842	0.894264373329679		
370.330301446051	-100.028259316292	-99.9801675099774	-100.030077980401	-100.01256719557	-99.8218204398535	-99.5631378807831	-99.7589552197788	-100.030077980401	-99.8080113431686	-99.7711336725867	-99.8696269099864	-99.7607734651599	-99.7342283108151	-99.8090237281581	-99.815374869167	-99.12948337302	-99.7943855569943	-99.6599647853892	-100.359105406098	-100.030077980401	-96.1947712963888	352.048	127.284169978249	127.284169978249	-96.4859881600669	127.284169978249	-694.547026790722	0.921674775577332		
371.098159065628	-100.028252030176	-99.9799701304173	-100.030077980401	-100.01249996062	-99.8210329666513	-99.5613894740763	-99.7579695299229	-100.030077980401	-99.8072302807659	-99.7702371478028	-99.8690749426842	-99.7598629558662	-99.7332408622729	-99.8083027470674	-99.8146938697815	-99.1266755208786	-99.7936420832228	-99.658851295356	-100.360081276071	-100.030077980401	-96.1817593872238	352.262	140.499138385556	140.499138385556	-96.4827747491918	140.499138385556	-677.267620443366	0.949085177824985		
371.866016685206	-100.028244700176	-99.9797715775906	-100.030077980401	-100.012432337663	-99.8202410173486	-99.559631229398	-99.7569784545511	-100.030077980401	-99.8064450893269	-99.7693359582998	-99.8685201219281	-99.758947821295	-99.7322484615081	-99.8075782325039	-99.8140096250547	-99.123854515865	-99.7928950845405	-99.6577327719491	-100.361061493331	-100.030077980401	-96.1686808059198	352.475	121.877753810213	121.877753810213	-96.4795719920305	121.877753810213	-646.730817750678	0.976495580072638		
372.633874304783	-100.028237325938	-99.9795718421794	-100.030077980401	-100.012364323706	-99.8194445579482	-99.5578630728048	-99.7559819543558	-100.030077980401	-99.8056557396891	-99.7684300716553	-99.8679624280135	-99.7580280300664	-99.7312510753485	-99.8068501613374	-99.8133221143313	-99.1210202756947	-99.7921445386196	-99.6566091847805	-100.362046083736	-100.030077980401	-96.1555350937954	352.689	141.79544071682	141.79544071682	-96.4763498077286	141.79544071682	-620.836126147005	1.00390598232029		
373.40173192436	-100.028229907106	-99.9793709147729	-100.030077980401	-100.012295915729	-99.8186435541293	-99.5560849296573	-99.7549799896703	-100.030077980401	-99.8048622024325	-99.7675194551646	-99.8674018410657	-99.7571035505339	-99.7302486703432	-99.8061185102479	-99.8126313167916	-99.1181727174389	-99.7913904229555	-99.6554805032325	-100.363035073334	-100.030077980401	-96.1423217881952	352.902	141.792229211263	141.792229211263	-96.4731383021713	141.792229211263	-614.677551065059	1.03131638456794		
374.169589543938	-100.02822244332	-99.9791687858665	-100.030077980401	-100.012227110683	-99.8178379712443	-99.5542967246123	-99.7539725204644	-100.030077980401	-99.8040644478759	-99.766604075838	-99.8668383410376	-99.7561743507816	-99.7292412127608	-99.8053832557241	-99.8119372114498	-99.1153117575183	-99.7906327148644	-99.6543466964556	-100.364028488366	-100.030077980401	-96.1290404224526	353.116	161.523543675957	161.523543675957	-96.4699073123215	161.523543675957	-612.428173422717	1.0587267868156		
374.937447163515	-100.028214934214	-99.9789654458607	-100.030077980401	-100.012157905488	-99.8170277743144	-99.5524983816147	-99.7529595063407	-100.030077980401	-99.8032624460749	-99.7656839003975	-99.8662719077083	-99.7552403986217	-99.7282286685855	-99.8046443740612	-99.8112397771521	-99.1124373116965	-99.7898713914823	-99.6532077333665	-100.365026355271	-100.030077980401	-96.1156905258424	353.33	138.248490079075	138.248490079075	-96.4666718972574	138.248490079075	-606.475850360177	1.08613718906325		
375.705304783092	-100.028207379423	-99.9787608850602	-100.030077980401	-100.012088297036	-99.816212928026	-99.5506898238896	-99.7519409065306	-100.030077980401	-99.8024561668187	-99.7647588952739	-99.8657025206809	-99.7543016615914	-99.7272110035151	-99.8039018413591	-99.8105389925756	-99.1095492950747	-99.7891064297628	-99.6520635826456	-100.366028700686	-100.030077980401	-96.1022716235411	353.543	140.665265380474	140.665265380474	-96.4634471986558	140.665265380474	-598.452140657884	1.1135475913109		
376.47316240267	-100.028199778574	-99.978555093672	-100.030077980401	-100.012018282187	-99.8153933967273	-99.5488709739339	-99.7509166798899	-100.030077980401	-99.8016455796273	-99.7638290266039	-99.8651301593812	-99.7533581069505	-99.7261881829576	-99.8031556335208	-99.8098348362261	-99.1066476220844	-99.7883378064752	-99.6509142127352	-100.367035551447	-100.030077980401	-96.0887832365843	353.757	141.40656656591	141.40656656591	-96.4602029295461	141.40656656591	-593.23701071775	1.14095799355856		
377.241020022247	-100.028192131291	-99.978348061805	-100.030077980401	-100.011947857772	-99.8145691444236	-99.5470417535081	-99.7498867848951	-100.030077980401	-99.8008306537488	-99.7628942602265	-99.8645548030553	-99.7524097016782	-99.7251601720284	-99.8024057262499	-99.8091272864369	-99.1037322064819	-99.7875654982036	-99.6497595918375	-100.36804693459	-100.030077980401	-96.0752248818226	353.971	126.881499665377	126.881499665377	-96.4569542108322	126.881499665377	-593.199338845794	1.16836839580621		
378.008877641824	-100.028184437197	-99.9781397794684	-100.030077980401	-100.011877020588	-99.8137401347741	-99.5452020836277	-99.7488511796388	-100.030077980401	-99.8000113581561	-99.7619545616807	-99.8639764307679	-99.7514564124701	-99.7241269355473	-99.8016520950488	-99.808416321367	-99.1008029613414	-99.786789481344	-99.6485996879117	-100.369062877355	-100.030077980401	-96.0615960718751	354.184	123.154625337382	123.154625337382	-96.4537162464728	123.154625337382	-591.610754422505	1.19577879805386		
378.776735261402	-100.028176695907	-99.9779302365709	-100.030077980401	-100.011805767404	-99.8129063310871	-99.5433518845553	-99.7478098218254	-100.030077980401	-99.7991876615445	-99.7610098962013	-99.8633950214006	-99.7504982057359	-99.7230884380356	-99.800894715217	-99.8077019189993	-99.0978597990488	-99.7860097321033	-99.6474344686724	-100.370083407188	-100.030077980401	-96.0478963150879	354.398	112.165913170335	112.165913170335	-96.45045862488	112.165913170335	-585.492320989024	1.22318920030151		
379.544592880979	-100.028168907036	-99.9777194229186	-100.030077980401	-100.011734094956	-99.812067696317	-99.5414910757911	-99.7467626687673	-100.030077980401	-99.7983595323281	-99.7600602287167	-99.8628105536498	-99.7495350475956	-99.7220446437129	-99.8001335618485	-99.806984057139	-99.0949026312947	-99.7852262264972	-99.6462639015873	-100.37110855174	-100.030077980401	-96.0341251154866	354.611	58.542666328435	58.542666328435	-96.4472117829798	58.542666328435	-584.438048873271	1.25059960254917		
380.312450500556	-100.028161070191	-99.977507328215	-100.030077980401	-100.011661999948	-99.8112241930591	-99.5396195760647	-99.7457096773799	-100.030077980401	-99.7975269386372	-99.7591055238447	-99.8622230060246	-99.7485669038771	-99.7209955164942	-99.7993686098305	-99.806262713412	-99.0919313690686	-99.7844389403481	-99.6450879538745	-100.372138338871	-100.030077980401	-96.0202819727317	354.825	46.0657634076081	46.0657634076081	-96.4439452257895	46.0657634076081	-583.568977392331	1.27801000479682		
381.080308120133	-100.028153184979	-99.9772939420586	-100.030077980401	-100.011589479052	-99.810375783546	-99.537737303326	-99.7446508041775	-100.030077980401	-99.796689848315	-99.75814574589	-99.8616323568452	-99.7475937401132	-99.7199410199864	-99.7985998338407	-99.8055378652628	-99.0889459226513	-99.7836478492839	-99.6439065925006	-100.373172796653	-100.030077980401	-96.0063663820715	355.038	52.3925076555267	52.3925076555267	-96.4406894737087	52.3925076555267	-563.321934129834	1.30542040704447		
381.848165739711	-100.028145251	-99.9770792539424	-100.030077980401	-100.011516528905	-99.8095224296433	-99.5358441747365	-99.7435860052688	-100.030077980401	-99.7958482289148	-99.7571808588403	-99.8610385842405	-99.746615521538	-99.7188811174857	-99.7978272083452	-99.8048094899531	-99.0859462016085	-99.7828529287352	-99.6427197841784	-100.374211953368	-100.030077980401	-95.9923778342957	355.252	61.3255957662341	61.3255957662341	-96.4374139480519	61.3255957662341	-558.865208801196	1.33283080929213		
382.616023359288	-100.028137267852	-99.976863253252	-100.030077980401	-100.011443146114	-99.8086640928453	-99.5339401066598	-99.7425152363522	-100.030077980401	-99.7950020476963	-99.7562108263633	-99.8604416661463	-99.7456322130843	-99.7178157719739	-99.7970507075971	-99.8040775645597	-99.0829321147843	-99.7820541539343	-99.6415274953641	-100.375255837516	-100.030077980401	-95.9783158156849	355.465	30.4168765257257	30.4168765257257	-96.4341492529989	30.4168765257257	-546.967286826064	1.36024121153978		
383.383880978865	-100.028129235126	-99.9766459292651	-100.030077980401	-100.01136932725	-99.8078007342706	-99.5320250146526	-99.7414384527113	-100.030077980401	-99.794151271623	-99.7552356118029	-99.8598415803032	-99.7446437793804	-99.7167449461156	-99.7962703056334	-99.8033420659731	-99.0799035702937	-99.7812514999125	-99.6403296922555	-100.376304477808	-100.030077980401	-95.9641798079685	355.679	53.8717738167629	53.8717738167629	-96.430864725854	53.8717738167629	-533.938915968865	1.38765161378743		
384.151738598443	-100.028121152412	-99.9764272711492	-100.030077980401	-100.011295068851	-99.8069323146577	-99.5300988134553	-99.7403556092104	-100.030077980401	-99.7932958673586	-99.7542551781761	-99.8592383042546	-99.7436501847466	-99.7156686022545	-99.7954859762735	-99.8026029708954	-99.0768604755158	-99.7804449414989	-99.6391263407894	-100.377357903179	-100.030077980401	-95.9499692882694	355.892	45.4912274185212	45.4912274185212	-96.4275910548847	45.4912274185212	-531.040274898221	1.41506201603509		
