Independent Variable	Fit Peak 1	Fit Peak 2	Fit Peak 3	Fit Peak 4	Fit Peak 5	Fit Peak 6	Fit Peak 7	Fit Peak 8	Fit Peak 9	Fit Peak 10	Fit Peak 11	Fit Peak 12	Cumulative Fit Peak	Independent Variable	Regular Residual F"Smoothed Y2"	Regular Residual F"Smoothed Y2"	Fitted Y	Regular Residual F"Smoothed Y2"	Regular Residual F"Smoothed Y2"	Percentiles	Reference X	Reference Line
																					mu = -0.027843	sigma = 188.204693
368.794586206897	-115.554763434041	-115.554763113713	-115.367237104922	-113.61901642795	-113.776500277211	-114.307818621577	-114.871205812621	-115.436538102812	-115.4127606383	-115.554763434041	-115.554763434041	-115.554763434041	-109.462496060823	351.621	150.660026362521	150.660026362521	-109.910604874918	150.660026362521	-719.37266555397	0.866853971082026		
369.562443826474	-115.554763434041	-115.554763112463	-115.366530950817	-113.612011582175	-113.770276677811	-114.303527164439	-114.868977395546	-115.436163401933	-115.412318627996	-115.554763434041	-115.554763434041	-115.554763434041	-109.441224874896	351.834	150.722461848629	150.722461848629	-109.905354410612	150.722461848629	-717.204169226075	0.894264373329679		
370.330301446051	-115.554763434041	-115.554763111205	-115.365820800209	-113.604968646243	-113.764020346491	-114.299213496292	-114.866738054693	-115.435786915865	-115.4118745501	-115.554763434041	-115.554763434041	-115.554763434041	-109.419841882815	352.048	152.629658678833	152.629658678833	-109.900071901973	152.629658678833	-715.444710662588	0.921674775577332		
371.098159065628	-115.554763434041	-115.55476310994	-115.365106622882	-113.597887343497	-113.7577310533	-114.294877463466	-114.864487718489	-115.435408633245	-115.411428391693	-115.554763434041	-115.554763434041	-115.554763434041	-109.398346298228	352.262	151.862715852157	151.862715852157	-109.89478196786	151.862715852157	-710.067699345136	0.949085177824985		
371.866016685206	-115.554763434041	-115.554763108668	-115.364388388332	-113.590767394766	-113.751408566265	-114.290518910959	-114.862226314773	-115.435028542615	-115.410980139753	-115.554763434041	-115.554763434041	-115.554763434041	-109.376737327847	352.475	152.043641597134	152.043641597134	-109.889509365729	152.043641597134	-709.439118832927	0.976495580072638		
372.633874304783	-115.554763434041	-115.554763107388	-115.363666065767	-113.583608518333	-113.745052651367	-114.286137682421	-114.859953770789	-115.434646632431	-115.410529781159	-115.554763434041	-115.554763434041	-115.554763434041	-109.35501417137	352.689	152.7661054001	152.7661054001	-109.884204573654	152.7661054001	-705.648686576853	1.00390598232029		
373.40173192436	-115.554763434041	-115.5547631061	-115.362939624102	-113.576410429911	-113.738663072523	-114.281733620143	-114.857670013183	-115.434262891051	-115.410077302685	-115.554763434041	-115.554763434041	-115.554763434041	-109.333176021413	352.902	151.102140295757	151.102140295757	-109.87891715526	151.102140295757	-692.083892711817	1.03131638456794		
374.169589543938	-115.554763434041	-115.554763104805	-115.362209031954	-113.569172842612	-113.73223959156	-114.277306565042	-114.855374967995	-115.433877306745	-115.409622691	-115.554763434041	-115.554763434041	-115.554763434041	-109.311222063429	353.116	150.233597449437	150.233597449437	-109.873597449437	150.233597449437	-687.281003057457	1.0587267868156		
374.937447163515	-115.554763434041	-115.554763103502	-115.361474257643	-113.561895466922	-113.725781968197	-114.272856356644	-114.853068560654	-115.433489867684	-115.409165932672	-115.554763434041	-115.554763434041	-115.554763434041	-109.289151475633	353.33	148.857113223414	148.857113223414	-109.868270248208	148.857113223414	-669.550274542387	1.08613718906325		
375.705304783092	-115.554763434041	-115.554763102192	-115.360735269186	-113.554578010666	-113.719289960017	-114.268382833073	-114.850750715971	-115.433100561948	-115.408707014158	-115.554763434041	-115.554763434041	-115.554763434041	-109.266963428927	353.543	141.404448086808	141.404448086808	-109.862960483502	141.404448086808	-655.580472686939	1.1135475913109		
