				Smoothed Y1	Smoothed Y2
			          	10 pts AAv smooth of B	10 pts AAv smooth of "Smoothed Y1"
360.587	-1186.29	360.587	-1232.54	-48.5145454545454	-45.8914876033058
360.8	-451.07	360.8	-585.38	-56.7063636363636	-45.1470247933885
361.013	-369.15	361.013	-362.15	-107.905454545455	-46.2812396694215
361.226	-827.89	361.226	-829.09	12.5509090909091	-46.4337190082645
361.44	2565.59	361.44	2634.03	-21.3336363636364	-46.18
361.653	1588.71	361.653	1560.89	-44.0481818181819	-44.859917355372
361.866	-905.71	361.866	-900.76	-54.6609090909091	-44.0645454545455
362.079	-2556.38	362.079	-2086.54	-51.6818181818182	-41.1704958677687
362.292	255.48	362.292	115.03	-48.5163636363637	-29.6276033057852
362.506	3481.03	362.506	3617.05	-39.58	-31.201652892562
362.719	478.71	362.719	627.02	-33.0627272727273	-27.2411570247934
362.932	2979.28	362.932	3049.77	-39.7654545454546	-18.88
363.145	146.94	363.145	-20.14	-24.8718181818182	-8.13231404958683
363.358	-887.28	363.358	-915.1	19.0663636363636	1.66752066115697
363.571	-1282.54	363.571	-1382.04	-4.76363636363638	11.3149586776859
363.785	-250.36	363.785	-253.61	22.2318181818182	19.6760330578512
363.998	1244.65	363.998	1290.56	47.9245454545454	26.7167768595041
364.211	2010.59	364.211	1851.71	63.5636363636363	34.1129752066115
364.424	-1223.15	364.424	-1236.63	56.1163636363636	39.2074380165289
364.637	1039.86	364.637	1161.54	57.6054545454545	41.3907438016528
364.85	-649.72	364.85	-810.65	52.3918181818181	47.5175206611569
365.063	2043.36	365.063	1909.05	44.3854545454545	50.310082644628
365.276	144.89	365.276	43.35	41.5927272727272	49.7852892561983
365.489	-1442.28	365.489	-1527.44	31.1672727272727	46.670909090909
365.702	-258.56	365.702	-302.76	43.0827272727272	44.5043801652892
365.915	419.32	365.915	377.17	62.630909090909	42.8457024793388
366.128	-309.76	366.128	-224.94	52.95	43.1335537190082
366.341	1938.91	366.341	2015.54	42.1518181818181	46.3495867768594
366.554	3374.54	366.554	3330.34	29.3054545454545	48.1777685950412
366.767	-834.04	366.767	-978.59	32.2845454545454	50.3105785123966
366.98	155.13	366.98	61.78	39.3599999999999	51.2078512396693
367.193	927.22	367.193	872.78	55.5581818181817	50.4127272727272
367.406	-1393.13	367.406	-1408.66	79.7618181818181	50.7008264462809
367.619	3874.24	367.619	3914.01	61.7027272727272	51.1920661157024
367.832	2026.98	367.832	1909.05	54.6281818181817	53.2742975206611
368.045	323.07	368.045	201.04	52.9527272727272	44.2534710743801
368.258	525.82	368.258	305.49	53.8845454545453	23.5879338842974
368.471	1242.61	368.471	1061.19	56.1190909090908	0.857438016528846
368.684	-2490.84	368.684	-2215.56	47.5554545454544	-25.3766942148761
368.896	-1847.78	368.896	-1814.16	52.2099999999999	-47.3795867768596
369.109	216.57	369.109	90.45	-66.9445454545455	-68.0961983471075
369.322	-1118.7	369.322	-1222.3	-187.960909090909	-89.8621487603306
369.535	-274.94	369.535	-353.96	-194.477272727273	-111.239008264463
369.748	-1540.58	369.748	-1461.91	-208.813636363636	-132.954380165289
369.961	-702.97	369.961	-714.4	-180.329090909091	-153.891239669422
