Independent Variable	Fit Peak 1	Fit Peak 2	Fit Peak 3	Fit Peak 4	Fit Peak 5	Fit Peak 6	Fit Peak 7	Fit Peak 8	Fit Peak 9	Fit Peak 10	Fit Peak 11	Fit Peak 12	Fit Peak 13	Fit Peak 14	Fit Peak 15	Fit Peak 16	Fit Peak 17	Cumulative Fit Peak	Independent Variable	Regular Residual E"Smoothed Y1"	Regular Residual E"Smoothed Y1"	Fitted Y	Regular Residual E"Smoothed Y1"	Regular Residual E"Smoothed Y1"	Percentiles	Reference X	Reference Line
																										mu = -0.111440	sigma = 167.090771
381.080308120133	-81.1676166908107	-81.1676166908107	-80.7279631779586	-81.137147950605	-81.1125361567689	-81.1676132491803	-81.0249957147561	-81.098586908868	-81.1374395129773	-81.138906794778	-81.1232339093963	-81.1675654761792	-81.0726084446575	-81.1159068722388	-81.1676166908107	-81.1676166908107	-81.167610594943	-80.1807144735783	355.038	36.2407508816037	36.2407508816037	-80.2889326997856	36.2407508816037	-526.338153462901	1.30542040704447		
381.848165739711	-81.1676166908107	-81.1676166908107	-80.7263230029996	-81.1370365697186	-81.1123378334255	-81.1676132370196	-81.0245010917921	-81.0983503750688	-81.137337909733	-81.1388110650994	-81.1230877417571	-81.167565309935	-81.072305340055	-81.1157446344291	-81.1676166908107	-81.1676166908107	-81.1676105768071	-80.1772243981109	355.252	45.1762994392514	45.1762994392514	-80.2881176210694	45.1762994392514	-525.038330617972	1.33283080929213		
382.616023359288	-81.1676166908107	-81.1676166908107	-80.7246736322017	-81.136924576914	-81.1121384368701	-81.1676132247943	-81.0240038909436	-81.0981126232519	-81.1372357923896	-81.1387148557277	-81.1229408507691	-81.1675651428799	-81.0720007825481	-81.1155816317679	-81.1676166908107	-81.1676166908107	-81.1676105585901	-80.173715709919	355.465	14.2700324935551	14.2700324935551	-80.2873052208279	14.2700324935551	-522.759835210076	1.36024121153978		
383.383880978865	-81.1676166908107	-81.1676166908107	-80.7230149966897	-81.1368119677001	-81.1119379593442	-81.1676132125039	-81.0235040942631	-81.0978736450388	-81.1371331574724	-81.1386181634517	-81.1227932316509	-81.1675649750086	-81.0716947628355	-81.1154178594392	-81.1676166908107	-81.1676166908107	-81.1676105402916	-80.1701882759612	355.679	37.727396959679	37.727396959679	-80.2864878687699	37.727396959679	-521.680838304443	1.38765161378743		
384.151738598443	-81.1676166908107	-81.1676166908107	-80.7213470269424	-81.1366987375446	-81.1117363930189	-81.167613200148	-81.0230016836469	-81.0976334319789	-81.1370300014769	-81.1385209850336	-81.1226448795817	-81.1675648063159	-81.0713872715415	-81.1152533125888	-81.1676166908107	-81.1676166908107	-81.1676105219111	-80.1666419620005	355.892	29.3493095652266	29.3493095652266	-80.2856732015903	29.3493095652266	-507.534580221902	1.41506201603509		
384.91959621802	-81.1676166908107	-81.1676166908107	-80.719669652785	-81.1365848818735	-81.1115337299944	-81.1676131877262	-81.022496640833	-81.0973919755485	-81.136926320869	-81.1384233172085	-81.1224957897004	-81.1675646367962	-81.0710782992149	-81.1150879863243	-81.1676166908107	-81.1676166908107	-81.1676105034481	-80.1630766325934	356.106	35.8657626586115	35.8657626586115	-80.2848535677024	35.8657626586115	-498.645663460946	1.44247241828274		
385.687453837597	-81.1676166908107	-81.1676166908107	-80.7179828033822	-81.1364703960703	-81.1113299622991	-81.1676131752379	-81.0219889473996	-81.0971492671504	-81.1368221120848	-81.1383251566838	-81.1223459571059	-81.1675644664442	-81.0707678363285	-81.1149218757146	-81.1676166908107	-81.1676166908107	-81.167610484902	-80.1594921510746	356.319	38.0985820796615	38.0985820796615	-80.2840366251164	38.0985820796615	-498.252544658925	1.46988282053039		
386.455311457175	-81.1676166908107	-81.1676166908107	-80.7162864072303	-81.1363552754761	-81.1111250818887	-81.1676131626827	-81.0214785847637	-81.0969052981127	-81.1367173715297	-81.1382265001393	-81.1221953768559	-81.1675642952545	-81.0704558732785	-81.1147549757895	-81.1676166908107	-81.1676166908107	-81.1676104662725	-80.1558883795453	356.533	55.4123056099613	55.4123056099613	-80.2832147008705	55.4123056099613	-489.100036160742	1.49729322277804		
387.223169076752	-81.1676166908107	-81.1676166908107	-80.7145803921498	-81.1362395153888	-81.1109190806458	-81.1676131500601	-81.0209655341789	-81.0966600596886	-81.1366120955789	-81.1381273442267	-81.1220440439674	-81.1675641232215	-81.0701424003835	-81.1145872815393	-81.1676166908107	-81.1676166908107	-81.1676104475589	-80.1522651788591	356.746	66.7696682016426	66.7696682016426	-80.2823954743699	66.7696682016426	-483.688717500595	1.5247036250257		
387.991026696329	-81.1676166908107	-81.1676166908107	-80.712864685278	-81.1361231110626	-81.1107119503785	-81.1676131373697	-81.0204497767339	-81.096413543055	-81.1365062805762	-81.1380276855694	-81.1218919534153	-81.1675639503397	-81.069827407884	-81.1144187879147	-81.1676166908107	-81.1676166908107	-81.1676104287608	-80.1486224086088	356.96	84.8279348875624	84.8279348875624	-80.2815712511983	84.8279348875624	-481.461316692437	1.55211402727335		
